regime,horizon,n,rmse,mae,r2,correlation,horizon_order,delta_rmse_vs_previous,pct_rmse_change_vs_previous
CV-E-B8,Pre-season-G-only,52167,2.687616508894186,2.152427505621801,0.0695705095307072,0.2722202566551644,0,,
CV-E-B8,Pre-season-location-history,52167,2.7159765103149764,2.171806355295426,0.04983093683906037,0.353497428129679,1,0.028360001420790315,1.0552101211961589
CV-E-B8,Pre-flowering-observed,52167,2.7652946594751797,2.2380044064020153,0.015010282760652083,0.254361671572435,2,0.04931814916020327,1.8158533025929506
CV-E-B8,At-flowering-observed,52167,2.8436955002206554,2.294629617812427,-0.041633762997916435,0.22300157537058507,3,0.07840084074547571,2.8351713072181344
CV-E-B8,Reproductive-stage-observed,52167,2.6107618202363496,2.0832232767312515,0.12202252736522945,0.3789060242445556,4,-0.2329336799843058,-8.191231443951416
CV-E-B8,Full-season-nonleaky,52167,2.5772293448803882,2.0601391931254582,0.1444310749642942,0.39517693533612713,5,-0.03353247535596138,-1.2843942751133735
CV-GE-B8,Pre-season-G-only,52167,2.691670521442244,2.155849882151476,0.06676146467840305,0.26814449158971027,0,,
CV-GE-B8,Pre-season-location-history,52167,2.717653385552132,2.1741049122634535,0.04865728395023927,0.35199715281096006,1,0.025982864109888038,0.965306262520049
CV-GE-B8,Pre-flowering-observed,52167,2.768597923933825,2.2410046743875367,0.01265565133226998,0.2517014559339028,2,0.05094453838169333,1.8745782170945682
CV-GE-B8,At-flowering-observed,52167,2.846485582230851,2.2974970253120683,-0.04367875645700514,0.2206345573719323,3,0.07788765829702582,2.8132527884857104
CV-GE-B8,Reproductive-stage-observed,52167,2.6141301362008824,2.086655721936989,0.11975559269346392,0.37659476961259,4,-0.2323554460299686,-8.162888562669856
CV-GE-B8,Full-season-nonleaky,52167,2.580499450532589,2.062966135881455,0.1422585280999492,0.39290915515906144,5,-0.0336306856682933,-1.2864962307182155
