phenotype_name,model,rmse,mae,r2,predictive_correlation,n,fold
shoots 15d protocol a,Mean baseline,0.36987431322026254,0.2992160856384995,-0.009374670768112825,-4.159529920609567e-17,29,0
shoots 15d protocol a,Mean baseline,0.21699875945515915,0.20657401339740789,-0.8786461565038921,,24,1
shoots 15d protocol a,Mean baseline,0.41923022094583307,0.29297935103244843,-0.0016691279413785232,5.300902153202952e-17,20,2
shoots 15d protocol a,Mean baseline,0.9851057209255458,0.35199222546161313,-0.00627805427731376,1.0267159769538363e-16,49,3
shoots 15d protocol a,Mean baseline,0.9385272151676438,0.4233375913703782,-0.029766505959906153,7.639027877550517e-17,11,4
shoots 15d protocol a,Elastic Net,1.5962945786085974,0.8372832892955034,-17.800531890387195,-0.06483549616806036,29,0
shoots 15d protocol a,Elastic Net,0.5038623527424823,0.39791897446331054,-9.128713961173696,0.1413678035484837,24,1
shoots 15d protocol a,Elastic Net,0.6839928265061683,0.5429742912948131,-1.6663810786860491,-0.13795022888827246,20,2
shoots 15d protocol a,Elastic Net,1.1246381396563039,0.5300077541837191,-0.3115291090361745,-0.013514193362716035,49,3
shoots 15d protocol a,Elastic Net,1.0281455991754742,0.83332190730355,-0.23581727676880493,-0.15061411430311752,11,4
shoots 15d protocol a,Kernel Ridge,0.40400996996941246,0.16683865821778132,-0.20428207979796298,0.01031976620653796,29,0
shoots 15d protocol a,Kernel Ridge,0.17419840442216858,0.07307165983624965,-0.21065062811845103,-0.12952830531945522,24,1
shoots 15d protocol a,Kernel Ridge,0.45585972228077437,0.18021815842299782,-0.18435410035851074,-0.3439851020474399,20,2
shoots 15d protocol a,Kernel Ridge,1.0117593592243832,0.24384365842780018,-0.06146769173592048,-0.05180711476864551,49,3
shoots 15d protocol a,Kernel Ridge,0.9856670701647968,0.3409271484309255,-0.13580954935340905,0.4288597914131691,11,4
shoots 15d protocol a,Random Forest,0.46488915646070234,0.4448624892699892,-0.5945674389944318,0.09947332994955924,29,0
shoots 15d protocol a,Random Forest,0.3139281717478924,0.28652818700644583,-2.93179682644344,0.40699676234103854,24,1
shoots 15d protocol a,Random Forest,0.46328662225211203,0.4208486966670896,-0.22325963285307937,0.27718772150948495,20,2
shoots 15d protocol a,Random Forest,0.9813819158546483,0.38250626591473513,0.0013152443195317831,0.049167166240190074,49,3
shoots 15d protocol a,Random Forest,0.922811798417168,0.48077318303269595,0.004431155062325498,0.12060634671742047,11,4
shoots 15d protocol a,XGBoost,0.8271050702950493,0.6919836278619438,-4.047373288970464,0.18594655385477984,29,0
shoots 15d protocol a,XGBoost,0.42393369875424686,0.37305076803184223,-6.170119052545591,-0.002006666689801305,24,1
shoots 15d protocol a,XGBoost,0.5152707003082776,0.4320772660772006,-0.5131780080205459,-0.12175481764223656,20,2
shoots 15d protocol a,XGBoost,0.9865881976937327,0.4289205632886629,-0.009309010837918574,0.0894601693535224,49,3
